Date,Rate,ISO Code From,ISO Code To
"8/31/2014 Sunday",37.09582,USD,RUB
"9/1/2014 Monday",37.29100,USD,RUB
"9/2/2014 Tuesday",37.45150,USD,RUB
"9/3/2014 Wednesday",36.84750,USD,RUB
"9/4/2014 Thursday",36.99250,USD,RUB
"9/5/2014 Friday",37.04450,USD,RUB
"9/6/2014 Saturday",37.01050,USD,RUB
"9/7/2014 Sunday",36.93228,USD,RUB
"9/8/2014 Monday",36.95600,USD,RUB
"9/9/2014 Tuesday",37.04350,USD,RUB
"9/10/2014 Wednesday",37.32300,USD,RUB
"9/11/2014 Thursday",37.54850,USD,RUB
"9/12/2014 Friday",37.75200,USD,RUB
"9/13/2014 Saturday",37.79990,USD,RUB
"9/14/2014 Sunday",37.79970,USD,RUB
"9/15/2014 Monday",38.33400,USD,RUB
"9/16/2014 Tuesday",38.28000,USD,RUB
"9/17/2014 Wednesday",38.36700,USD,RUB
"9/18/2014 Thursday",38.47100,USD,RUB
"9/19/2014 Friday",38.42700,USD,RUB
"9/20/2014 Saturday",38.43000,USD,RUB
"9/21/2014 Sunday",38.43411,USD,RUB
"9/22/2014 Monday",38.69750,USD,RUB
"9/23/2014 Tuesday",38.59700,USD,RUB
"9/24/2014 Wednesday",38.19700,USD,RUB
"9/25/2014 Thursday",38.48550,USD,RUB
"9/26/2014 Friday",39.17800,USD,RUB
"9/27/2014 Saturday",39.10200,USD,RUB
"9/28/2014 Sunday",39.14893,USD,RUB
"9/29/2014 Monday",39.44850,USD,RUB
"9/30/2014 Tuesday",39.59100,USD,RUB
"10/1/2014 Wednesday",39.69900,USD,RUB
"10/2/2014 Thursday",39.62000,USD,RUB
"10/3/2014 Friday",39.94550,USD,RUB
"10/4/2014 Saturday",40.10500,USD,RUB
"10/5/2014 Sunday",39.99348,USD,RUB
"10/6/2014 Monday",39.82300,USD,RUB
"10/7/2014 Tuesday",39.95000,USD,RUB
"10/8/2014 Wednesday",40.15150,USD,RUB
"10/9/2014 Thursday",40.11250,USD,RUB
"10/10/2014 Friday",40.36500,USD,RUB
"10/11/2014 Saturday",40.35850,USD,RUB
"10/12/2014 Sunday",40.35811,USD,RUB
"10/13/2014 Monday",40.50950,USD,RUB
"10/14/2014 Tuesday",40.86300,USD,RUB
"10/15/2014 Wednesday",40.69200,USD,RUB
"10/16/2014 Thursday",40.85500,USD,RUB
"10/17/2014 Friday",40.65000,USD,RUB
"10/18/2014 Saturday",40.74250,USD,RUB
"10/19/2014 Sunday",40.69757,USD,RUB
"10/20/2014 Monday",40.96400,USD,RUB
"10/21/2014 Tuesday",40.91150,USD,RUB
"10/22/2014 Wednesday",41.34500,USD,RUB
"10/23/2014 Thursday",41.72450,USD,RUB
"10/24/2014 Friday",41.82350,USD,RUB
"10/25/2014 Saturday",41.89550,USD,RUB
"10/26/2014 Sunday",41.91265,USD,RUB
"10/27/2014 Monday",42.28000,USD,RUB
"10/28/2014 Tuesday",42.45450,USD,RUB
"10/29/2014 Wednesday",42.84600,USD,RUB
"10/30/2014 Thursday",41.55550,USD,RUB
"10/31/2014 Friday",42.97900,USD,RUB
"11/1/2014 Saturday",43.02750,USD,RUB
"11/2/2014 Sunday",43.00715,USD,RUB
"11/3/2014 Monday",43.49600,USD,RUB
"11/4/2014 Tuesday",43.71500,USD,RUB
"11/5/2014 Wednesday",44.88300,USD,RUB
"11/6/2014 Thursday",46.60100,USD,RUB
"11/7/2014 Friday",46.72600,USD,RUB
"11/8/2014 Saturday",47.26900,USD,RUB
"11/9/2014 Sunday",46.68534,USD,RUB
"11/10/2014 Monday",45.61450,USD,RUB
"11/11/2014 Tuesday",46.69550,USD,RUB
"11/12/2014 Wednesday",45.60050,USD,RUB
"11/13/2014 Thursday",46.54150,USD,RUB
"11/14/2014 Friday",47.29200,USD,RUB
"11/15/2014 Saturday",47.27000,USD,RUB
"11/16/2014 Sunday",47.36053,USD,RUB
"11/17/2014 Monday",47.21200,USD,RUB
"11/18/2014 Tuesday",46.85450,USD,RUB
"11/19/2014 Wednesday",46.73100,USD,RUB
"11/20/2014 Thursday",46.26100,USD,RUB
"11/21/2014 Friday",45.83100,USD,RUB
"11/22/2014 Saturday",45.76660,USD,RUB
"11/23/2014 Sunday",45.69334,USD,RUB
"11/24/2014 Monday",44.85100,USD,RUB
"11/25/2014 Tuesday",46.04550,USD,RUB
"11/26/2014 Wednesday",47.06400,USD,RUB
"11/27/2014 Thursday",48.61900,USD,RUB
"11/28/2014 Friday",49.46500,USD,RUB
"11/29/2014 Saturday",50.28000,USD,RUB
"11/30/2014 Sunday",49.35915,USD,RUB
"12/1/2014 Monday",51.64600,USD,RUB
"12/2/2014 Tuesday",53.96700,USD,RUB
"12/3/2014 Wednesday",53.14950,USD,RUB
"12/4/2014 Thursday",54.28700,USD,RUB
"12/5/2014 Friday",52.86250,USD,RUB
"12/6/2014 Saturday",52.67750,USD,RUB
"12/7/2014 Sunday",52.67019,USD,RUB
"12/8/2014 Monday",53.80550,USD,RUB
"12/9/2014 Tuesday",54.25050,USD,RUB
"12/10/2014 Wednesday",54.85500,USD,RUB
"12/11/2014 Thursday",55.71100,USD,RUB
"12/12/2014 Friday",58.25450,USD,RUB
"12/13/2014 Saturday",58.17350,USD,RUB
"12/14/2014 Sunday",57.54600,USD,RUB
"12/15/2014 Monday",64.24550,USD,RUB
"12/16/2014 Tuesday",67.91300,USD,RUB
"12/17/2014 Wednesday",60.10250,USD,RUB
"12/18/2014 Thursday",61.52150,USD,RUB
"12/19/2014 Friday",58.99750,USD,RUB
"12/20/2014 Saturday",58.87750,USD,RUB
"12/21/2014 Sunday",58.28834,USD,RUB
"12/22/2014 Monday",56.18900,USD,RUB
"12/23/2014 Tuesday",54.77950,USD,RUB
"12/24/2014 Wednesday",53.64000,USD,RUB
"12/25/2014 Thursday",53.54950,USD,RUB
"12/26/2014 Friday",51.04700,USD,RUB
"12/27/2014 Saturday",51.04700,USD,RUB
"12/28/2014 Sunday",51.03707,USD,RUB
"12/29/2014 Monday",57.85350,USD,RUB
"12/30/2014 Tuesday",55.95050,USD,RUB
"12/31/2014 Wednesday",61.00000,USD,RUB
"1/1/2015 Thursday",60.54330,USD,RUB
"1/2/2015 Friday",58.67500,USD,RUB
"1/3/2015 Saturday",58.72060,USD,RUB
"1/4/2015 Sunday",58.68041,USD,RUB
"1/5/2015 Monday",60.20230,USD,RUB
"1/6/2015 Tuesday",62.44640,USD,RUB
"1/7/2015 Wednesday",62.88320,USD,RUB
"1/8/2015 Thursday",60.24450,USD,RUB
"1/9/2015 Friday",61.86950,USD,RUB
"1/10/2015 Saturday",61.72900,USD,RUB
"1/11/2015 Sunday",61.42112,USD,RUB
"1/12/2015 Monday",63.01450,USD,RUB
"1/13/2015 Tuesday",65.73450,USD,RUB
"1/14/2015 Wednesday",66.01550,USD,RUB
"1/15/2015 Thursday",65.33350,USD,RUB
"1/16/2015 Friday",65.02000,USD,RUB
"1/17/2015 Saturday",65.28280,USD,RUB
"1/18/2015 Sunday",65.27712,USD,RUB
"1/19/2015 Monday",64.86450,USD,RUB
"1/20/2015 Tuesday",65.42950,USD,RUB
"1/21/2015 Wednesday",65.28750,USD,RUB
"1/22/2015 Thursday",64.50550,USD,RUB
"1/23/2015 Friday",63.77950,USD,RUB
"1/24/2015 Saturday",64.04950,USD,RUB
"1/25/2015 Sunday",64.04911,USD,RUB
"1/26/2015 Monday",66.33450,USD,RUB
"1/27/2015 Tuesday",66.86450,USD,RUB
"1/28/2015 Wednesday",67.94950,USD,RUB
"1/29/2015 Thursday",69.15450,USD,RUB
"1/30/2015 Friday",70.23050,USD,RUB
"1/31/2015 Saturday",69.65950,USD,RUB
"2/1/2015 Sunday",69.61340,USD,RUB
"2/2/2015 Monday",68.32511,USD,RUB
"2/3/2015 Tuesday",65.05423,USD,RUB
"2/4/2015 Wednesday",67.83375,USD,RUB
"2/5/2015 Thursday",66.70609,USD,RUB
"2/6/2015 Friday",66.47788,USD,RUB
"2/7/2015 Saturday",66.52464,USD,RUB
"2/8/2015 Sunday",66.50901,USD,RUB
"2/9/2015 Monday",65.87314,USD,RUB
"2/10/2015 Tuesday",65.45872,USD,RUB
"2/11/2015 Wednesday",65.52432,USD,RUB
"2/12/2015 Thursday",65.27991,USD,RUB
"2/13/2015 Friday",63.37239,USD,RUB
"2/14/2015 Saturday",63.34970,USD,RUB
"2/15/2015 Sunday",63.31573,USD,RUB
"2/16/2015 Monday",63.20042,USD,RUB
"2/17/2015 Tuesday",63.80208,USD,RUB
"2/18/2015 Wednesday",61.40494,USD,RUB
"2/19/2015 Thursday",61.90909,USD,RUB
"2/20/2015 Friday",61.83563,USD,RUB
"2/21/2015 Saturday",61.87464,USD,RUB
"2/22/2015 Sunday",61.86231,USD,RUB
"2/23/2015 Monday",63.78210,USD,RUB
"2/24/2015 Tuesday",63.10252,USD,RUB
"2/25/2015 Wednesday",61.36485,USD,RUB
"2/26/2015 Thursday",61.15496,USD,RUB
"2/27/2015 Friday",61.60150,USD,RUB
